area,year,Economically Inactive,percent
barking and dagenham,2004,33600.0,31.8
barking and dagenham,2005,32600.0,31.0
barking and dagenham,2006,32800.0,31.3
barking and dagenham,2007,29300.0,27.7
barking and dagenham,2008,31800.0,29.3
barking and dagenham,2009,32000.0,28.9
barking and dagenham,2010,31800.0,27.6
barking and dagenham,2011,34000.0,28.6
barking and dagenham,2012,33400.0,27.7
barking and dagenham,2013,30700.0,25.3
barking and dagenham,2014,35100.0,28.1
barking and dagenham,2015,33400.0,26.0
barking and dagenham,2016,36000.0,27.5
barking and dagenham,2017,32300.0,24.7
barking and dagenham,2018,37200.0,27.4
barnet,2004,51800.0,24.7
barnet,2005,54900.0,25.6
barnet,2006,57800.0,26.5
barnet,2007,60300.0,27.4
barnet,2008,60600.0,27.2
barnet,2009,63900.0,28.0
barnet,2010,57500.0,24.9
barnet,2011,57900.0,24.7
barnet,2012,61600.0,25.9
barnet,2013,56000.0,23.3
barnet,2014,63200.0,26.1
barnet,2015,60300.0,24.7
barnet,2016,69000.0,27.5
barnet,2017,57600.0,23.1
barnet,2018,61700.0,24.2
bexley,2004,29300.0,21.0
bexley,2005,28900.0,20.5
bexley,2006,28800.0,20.5
bexley,2007,32300.0,22.7
bexley,2008,32200.0,22.4
bexley,2009,35500.0,24.3
bexley,2010,33600.0,22.9
bexley,2011,33900.0,23.2
bexley,2012,31200.0,21.2
bexley,2013,29500.0,20.2
bexley,2014,30200.0,20.2
bexley,2015,28500.0,18.7
bexley,2016,28900.0,18.5
bexley,2017,33300.0,21.3
bexley,2018,33100.0,21.1
brent,2004,54600.0,30.1
brent,2005,52400.0,28.4
brent,2006,54500.0,29.2
brent,2007,47600.0,24.6
brent,2008,47700.0,24.0
brent,2009,50200.0,24.4
brent,2010,64200.0,30.2
brent,2011,67400.0,30.8
brent,2012,54100.0,25.2
brent,2013,53300.0,24.7
brent,2014,57000.0,26.5
brent,2015,54600.0,24.9
brent,2016,54100.0,24.8
brent,2017,56200.0,25.8
brent,2018,54400.0,24.7
bromley,2004,36400.0,19.4
bromley,2005,32500.0,17.2
bromley,2006,39300.0,20.5
bromley,2007,32700.0,17.0
bromley,2008,37300.0,19.2
bromley,2009,39200.0,20.2
bromley,2010,45000.0,23.0
bromley,2011,43500.0,21.9
bromley,2012,41800.0,21.1
bromley,2013,40000.0,19.7
bromley,2014,41800.0,20.6
bromley,2015,40700.0,20.1
bromley,2016,38600.0,19.1
bromley,2017,37000.0,18.2
bromley,2018,37700.0,18.3
camden,2004,40000.0,27.0
